target_id,target_month,employee_id,product_id,target_qty,target_value,currency,approved_by,approval_status,created_at,updated_at,source_system,batch_id,remarks
T400055,2025-02-01,E100356,P200442,,"9,67,790.15",INR,E100299,Approved,2025-04-02 09:29:53,2025-10-23 06:28:10,CRM,BATCH_20260313_001,
T400056,2025-02-01,E100498,P200390,1299,"41,16,905.07",INR,E100357,Approved,2025-04-24 21:33:59,2026-02-21 08:42:12,SAP,BATCH_20260313_001,Carry forward
T400057,2025-05-01,E100717,P200508,80,"1,93,003.01",INR,E100202,Approved,2025-01-17 18:40:26,2025-02-23 23:31:22,SFA App,BATCH_20260313_002,Manual upload
T400058,2025-10-01,E100500,P200604,1708,"65,42,979.48",INR,E100299,Approved,2025-04-18 03:05:32,2025-01-20 19:20:16,Legacy ERP,BATCH_20260313_002,
T400059,2025-03-01,E100603,P200679,642,"3,47,809.59",INR,E100321,Approved,2024-11-04 02:27:54,2026-01-31 02:42:28,SAP,BATCH_20260313_003,Manual upload
T400060,2026-03-01,E100260,P200622,290,"4,13,234.20",INR,E100360,Pending,2024-11-11 03:52:23,2025-07-15 19:06:17,SFA App,BATCH_20260313_003,
T400061,2025-02-01,E100391,P200306,768,"30,52,355.06",INR,E100534,Approved,2025-11-06 19:05:12,2025-05-17 02:40:31,SAP,BATCH_20260313_001,
T400062,10/01/2025,E100502,P200114,816,"18,03,439.21",INR,E100600,Approved,2025-03-24 18:54:44,2025-11-30 11:20:34,CRM,BATCH_20260313_003,Manual upload
T400063,2025-09-01,E100220,P200393,124,"5,33,715.79",INR,E100081,Pending,2025-07-23 01:34:16,2025-05-04 16:33:56,SAP,BATCH_20260313_002,Carry forward
T400064,2026-02-01,E100546,P200144,1009,,INR,E100613,Approved,2025-06-22 00:50:19,2026-01-06 12:17:16,Legacy ERP,BATCH_20260313_001,Revised
T400065,2025-01-01,E100023,P200679,823,"25,08,771.74",INR,E100629,Approved,2025-07-20 02:53:32,2025-09-03 07:13:03,SAP,BATCH_20260313_001,Manual upload
T400066,2025-04-01,E100658,P200387,1513,"67,72,962.99",INR,E100512,Approved,2025-06-07 19:54:20,2025-01-31 08:53:13,CRM,BATCH_20260313_003,Manual upload
T400067,2025-10-01,E100047,P200340,148,"1,82,161.01",INR,E100170,Approved,2025-12-28 21:58:23,2025-05-14 18:13:03,Legacy ERP,BATCH_20260313_001,Manual upload
T400068,2026-02-01,E100197,P200313,806,"4,08,440.47",INR,E100448,Approved,2025-06-04 01:40:24,2026-02-26 01:45:01,SFA App,BATCH_20260313_001,Manual upload
T400069,2025-12-01,E100264,P200012,693,"3,30,240.62",INR,E100399,Approved,2025-12-11 02:38:39,2025-02-15 22:12:27,Legacy ERP,BATCH_20260313_002,Carry forward
T400070,2025-11-01,E100739,P200051,1608,"12,40,163.43",INR,E100441,Approved,2025-05-31 04:34:48,2025-11-27 18:42:11,CRM,BATCH_20260313_001,Carry forward
T400071,2026-02-01,E100211,P200369,997,"27,64,419.49",INR,E100590,Approved,2026-01-23 17:36:10,2025-03-21 10:04:41,SFA App,BATCH_20260313_002,Manual upload
T400072,2025-10-01,E100332,P200181,604,"17,10,653.94",INR,E100168,Approved,2025-12-03 16:43:56,2025-11-13 21:21:27,CRM,BATCH_20260313_003,Revised
T400073,2025-07-01,E100441,P200503,917,"14,80,028.55",INR,E100082,Approved,2025-09-18 02:15:14,2025-11-26 22:33:31,Legacy ERP,BATCH_20260313_001,Carry forward
T400074,2025-05-01,E100184,P200076,638,"21,29,613.80",INR,E100342,Approved,2025-06-21 09:36:32,2025-09-27 22:40:14,SFA App,BATCH_20260313_003,Revised
T400075,2025-06-01,E100579,P200131,358,"6,16,721.24",INR,E100352,Approved,2026-02-21 10:11:04,2025-06-30 02:31:12,Legacy ERP,BATCH_20260313_002,Manual upload
T400076,2025-09-01,E100022,P999999,1532,"40,09,428.05",INR,E100264,Approved,2025-05-03 15:49:20,2025-08-01 03:01:34,SAP,BATCH_20260313_003,
T400077,2026-02-01,E100040,P200219,91,"72,574.33",INR,E100349,Rejected,2024-12-25 05:06:55,2026-02-21 13:38:32,CRM,BATCH_20260313_001,Revised
T400078,2025-06-01,E100158,P200569,581,"2,99,999.15",INR,E100239,Approved,2025-05-31 23:47:08,2025-02-28 09:16:20,CRM,BATCH_20260313_002,
T400079,2025-01-01,E100347,P200662,596,"8,95,529.07",INR,E100455,Approved,2025-07-15 01:49:53,2025-02-10 21:07:40,Legacy ERP,BATCH_20260313_003,
T400080,01-07-2025,E100216,P200183,1149,"16,07,943.23",INR,E100348,Approved,2025-03-18 13:39:43,2025-01-21 06:12:45,SFA App,BATCH_20260313_003,Revised
T400081,01/03/2026,E100090,P200036,1796,"28,52,437.16",INR,E100565,Approved,2025-03-31 10:21:08,2025-08-21 17:46:30,SFA App,BATCH_20260313_003,Revised
T400082,2025-01-01,E100650,P200391,423,"16,76,976.05",INR,E100601,Approved,2025-09-15 19:48:39,2025-10-01 13:32:38,SAP,BATCH_20260313_003,Carry forward
T400083,2025-12-01,E100013,P200494,1198,"24,07,848.35",INR,E100626,Approved,2025-10-08 16:06:36,2025-11-27 03:56:57,Legacy ERP,BATCH_20260313_003,Manual upload
T400084,2025-02-01,E100282,P200399,404,"4,51,030.90",INR,E100037,Approved,2024-12-17 11:21:07,2025-09-11 10:33:48,SFA App,BATCH_20260313_001,Manual upload
T400085,2025-04-01,E100218,P200342,465,"3,78,010.57",INR,E100612,Approved,2025-05-29 13:32:27,2026-02-19 17:23:52,Legacy ERP,BATCH_20260313_001,
T400086,2025-03-01,E100093,P200395,187,"64,034.00",INR,E100088,Approved,2025-09-12 08:53:29,2025-04-16 19:59:25,Legacy ERP,BATCH_20260313_003,Carry forward
T400087,2025-01-01,E100208,P200081,746,"12,25,831.90",INR,E100701,Approved,2025-10-05 04:29:21,2025-10-21 13:02:35,Legacy ERP,BATCH_20260313_003,Manual upload
T400088,2025-10-01,E100629,P200463,437,"19,44,591.15",INR,E100166,Approved,2025-03-15 18:17:49,2025-06-20 05:47:06,CRM,BATCH_20260313_002,Manual upload
T400089,2025/03/01,E100048,P200435,1366,"59,59,430.24",INR,E100047,Approved,2024-11-25 20:36:55,2026-01-04 23:46:53,SAP,BATCH_20260313_002,
T400090,05/01/2025,E100312,P200107,,"89,832.64",INR,E100250,Approved,2025-07-04 20:17:45,2025-03-24 19:44:25,CRM,BATCH_20260313_002,Carry forward
T400091,2025-03-01,E100075,P200188,1696,"32,23,650.36",INR,E100227,Approved,2025-11-14 05:18:21,2025-04-19 19:59:46,SFA App,BATCH_20260313_001,Carry forward
T400092,2025-01-01,E100131,P200260,1149,"49,38,705.97",INR,E100379,Approved,2026-02-19 18:44:44,2026-02-26 23:51:54,SFA App,BATCH_20260313_003,Carry forward
T400093,2025-08-01,E100645,P200191,1675,"61,53,427.38",INR,E100586,Approved,2025-09-28 17:06:10,2025-03-20 09:50:49,SFA App,BATCH_20260313_002,
T400094,2026-01-01,E100268,P200164,1620,"39,73,996.45",INR,E100627,Approved,2025-06-28 18:45:00,2025-11-07 13:43:15,Legacy ERP,BATCH_20260313_001,Carry forward
T400095,2025-02-01,E100642,P200080,1010,"16,05,666.84",INR,E100691,Pending,2026-02-02 06:15:31,2025-11-03 15:00:34,SFA App,BATCH_20260313_001,Carry forward
T400096,2025-08-01,E100667,P200242,1613,"35,41,183.53",INR,E100206,Approved,2025-07-11 04:02:43,2025-02-28 10:14:15,CRM,BATCH_20260313_001,
T400097,2025-06-01,E100207,P200191,833,"21,85,122.75",INR,E100070,Approved,2026-02-07 07:04:59,2025-02-21 11:05:38,SFA App,BATCH_20260313_003,Revised
T400098,2025-09-01,E100629,P200298,1587,"56,65,640.09",INR,E100205,Approved,2025-04-04 06:01:37,2026-03-03 19:01:13,Legacy ERP,BATCH_20260313_003,
T400099,2025-06-01,E100255,P200078,1731,"30,53,375.10",INR,E100446,Approved,2025-02-15 12:19:26,2025-12-28 06:21:05,Legacy ERP,BATCH_20260313_002,Revised
T400100,01/01/2026,E100191,P200528,1358,"9,22,995.52",INR,E100527,Approved,2025-11-07 05:52:45,2025-11-01 14:48:39,CRM,BATCH_20260313_003,Carry forward
T400101,2025-06-01,E100615,P200417,947,"19,84,774.61",INR,E100182,Approved,2025-09-08 15:00:43,2025-07-18 09:00:27,Legacy ERP,BATCH_20260313_001,Revised
T400102,02/01/2025,E100203,P200657,712,"9,40,931.35",INR,E100009,Pending,2025-06-20 10:00:06,2025-07-24 06:09:31,SAP,BATCH_20260313_001,Carry forward
T400103,2025-05-01,E100588,P200118,259,"10,11,707.74",INR,E100648,Approved,2025-12-26 13:59:19,2025-03-27 14:59:09,SAP,BATCH_20260313_001,Manual upload
T400104,2025-05-01,E100270,P200321,465,"8,33,669.33",INR,E100630,Pending,2025-07-04 21:19:24,2025-09-03 20:54:59,CRM,BATCH_20260313_002,Manual upload
T400105,2025-01-01,E100731,P200200,1663,"7,87,204.54",INR,E100578,Approved,2026-02-27 23:35:08,2026-02-20 03:53:28,SAP,BATCH_20260313_001,Manual upload
T400106,2025/02/01,E100687,P200496,1284,"33,18,744.98",INR,E100557,Approved,2025-04-07 23:29:22,2025-08-05 03:26:47,SAP,BATCH_20260313_001,Carry forward
T400107,2025-12-01,E100601,P200335,357,"6,57,097.19",INR,E100163,Rejected,2025-06-23 18:20:45,2025-07-26 02:19:49,SAP,BATCH_20260313_001,Manual upload
T400108,2025-11-01,E100394,P200072,804,"22,49,879.78",INR,E100466,Approved,2024-11-24 17:32:21,2026-02-12 01:27:36,SAP,BATCH_20260313_001,
T400109,2025-05-01,E100725,P200228,1557,"52,75,280.18",INR,E100521,Approved,2025-02-03 01:08:30,2025-04-19 00:53:53,CRM,BATCH_20260313_001,Carry forward
T400110,2026-02-01,E100658,P200588,726,"23,11,483.04",INR,E100646,Approved,2024-11-19 14:09:09,2025-04-11 01:50:13,CRM,BATCH_20260313_002,Revised
T400111,2025-10-01,E100230,P200230,1157,"32,49,330.40",INR,E100249,Approved,2025-09-14 18:31:48,2026-01-15 15:58:50,CRM,BATCH_20260313_003,Manual upload
T400112,2025-08-01,E100621,P200162,1179,"52,59,991.38",INR,E100162,Approved,2024-11-04 20:35:45,2025-05-31 05:08:37,SFA App,BATCH_20260313_002,Carry forward
T400113,2025-05-01,E100108,P200312,1455,"17,89,889.90",INR,E100025,Pending,2025-01-19 00:24:33,2025-02-03 09:43:43,Legacy ERP,BATCH_20260313_003,
T400114,2025/12/01,E100606,P200518,949,"6,68,296.98",INR,E100011,Approved,2025-07-24 08:15:59,2025-11-28 06:37:07,Legacy ERP,BATCH_20260313_001,
T400115,2025-08-01,E100079,P200649,,"23,85,346.68",INR,E100002,Rejected,2025-11-21 08:36:21,2025-01-28 09:18:15,CRM,BATCH_20260313_002,
T400116,2025-10-01,E100609,P200171,1193,"47,71,781.03",INR,E100670,Approved,2026-02-18 03:50:50,2025-07-29 02:43:24,CRM,BATCH_20260313_003,Manual upload
T400117,2026-02-01,E100186,P200280,169,"4,01,669.78",INR,E100675,Approved,2025-02-28 04:15:32,2025-02-23 06:31:00,Legacy ERP,BATCH_20260313_002,Carry forward
T400118,01/04/2025,E100080,P200039,1024,"19,41,791.94",INR,E100277,Approved,2025-04-17 04:23:59,2026-02-12 17:13:33,Legacy ERP,BATCH_20260313_001,Manual upload
T400119,2025-08-01,E100242,P200323,1108,"4,47,475.74",INR,E100287,Approved,2025-05-30 16:17:51,2025-09-03 03:52:12,CRM,BATCH_20260313_003,
T400120,2026-03-01,E100104,P200061,414,"15,55,669.84",INR,E100695,Pending,2025-10-17 03:53:06,2025-10-10 11:33:05,SAP,BATCH_20260313_001,
T400121,2025-01-01,E100295,P200394,319,"2,95,278.08",INR,E100611,Rejected,2025-07-19 05:32:37,2025-01-08 03:50:17,SAP,BATCH_20260313_003,
T400122,01/06/2025,E100145,P200249,928,"10,08,644.99",INR,E100148,Approved,2025-05-23 17:37:11,2025-08-26 16:57:40,Legacy ERP,BATCH_20260313_002,Manual upload
T400123,2025-02-01,E100093,P200559,1798,"50,36,783.55",INR,E100690,Pending,2025-11-18 01:22:05,2025-01-07 20:52:48,Legacy ERP,BATCH_20260313_002,Revised
T400124,2025-09-01,E100002,P200643,112,"1,00,422.56",INR,E100726,Approved,2025-04-02 16:11:19,2025-11-19 02:53:47,Legacy ERP,BATCH_20260313_003,Revised
T400125,2026-01-01,E100022,P200281,655,"9,47,373.70",INR,E100152,Approved,2025-08-16 13:14:19,2025-10-24 00:48:01,SAP,BATCH_20260313_003,Manual upload
T400126,2025-12-01,E100432,P200539,1545,"42,82,826.56",INR,E100108,Approved,2024-12-16 21:05:12,2025-11-19 01:13:01,SFA App,BATCH_20260313_002,Manual upload
T400127,01 Jan 2025,E100074,P200489,842,"26,83,082.31",INR,E100277,Pending,2025-04-09 22:34:43,2025-03-11 20:01:59,SFA App,BATCH_20260313_001,Carry forward
T400128,2025-09-01,E100539,P200073,266,"6,49,765.16",INR,E100290,Approved,2025-03-12 01:20:23,2025-08-14 04:54:59,Legacy ERP,BATCH_20260313_002,Manual upload
T400129,2026-01-01,E100177,P200085,505,"17,82,605.22",INR,E100158,Approved,2025-08-26 02:26:00,2025-12-05 08:37:43,Legacy ERP,BATCH_20260313_001,Manual upload
T400130,2026-02-01,E100645,P200162,446,"1,70,266.28",INR,E100402,Approved,2025-12-27 16:58:24,2025-05-05 14:08:06,Legacy ERP,BATCH_20260313_003,Revised
T400131,2025-05-01,E100357,P200526,1538,"50,14,946.82",INR,E100496,Approved,2026-01-17 11:44:29,2025-02-15 05:53:26,Legacy ERP,BATCH_20260313_002,Carry forward
T400132,2025-02-01,E100396,P200285,1443,"28,47,718.96",INR,E100473,Approved,2026-02-27 03:05:52,2025-03-02 04:02:59,SFA App,BATCH_20260313_001,
T400133,2025-01-01,E100538,P200673,1468,"23,07,960.05",INR,E100587,Approved,2025-09-20 18:51:11,2026-02-16 13:11:23,Legacy ERP,BATCH_20260313_001,Carry forward
T400134,2025-02-01,E100475,P200432,765,"1,56,813.70",INR,E100195,Approved,2025-12-28 19:51:40,2025-09-20 20:16:34,SAP,BATCH_20260313_003,Manual upload
T400135,2025-07-01,E100069,P200517,1426,"49,04,294.05",INR,E100011,Approved,2025-02-13 08:09:10,2025-10-31 19:55:42,SFA App,BATCH_20260313_003,Carry forward
T400136,01 Feb 2026,E100225,P200134,303,"9,49,588.25",INR,E100561,Approved,2025-02-20 00:36:00,2025-05-24 00:03:15,SFA App,BATCH_20260313_002,Carry forward
T400137,2026-02-01,E100571,P200317,1556,,INR,E100314,Approved,2025-04-23 13:21:47,2025-01-01 04:53:22,SFA App,BATCH_20260313_003,Manual upload
T400138,12/01/2025,E100039,P200496,1722,"62,33,356.81",INR,E100476,Approved,2025-08-16 00:17:25,2025-04-09 12:38:54,SAP,BATCH_20260313_003,
T400139,2026-01-01,E100532,P200198,1118,"21,64,773.30",INR,E100138,Approved,2026-02-09 13:05:26,2025-12-25 06:24:28,SFA App,BATCH_20260313_001,Manual upload
T400140,2025-06-01,E100731,P200469,429,"11,67,716.87",INR,E100694,Approved,2025-10-19 12:39:06,2025-07-03 08:45:34,SFA App,BATCH_20260313_003,
T400141,2025-05-01,E100692,P200652,247,"7,73,232.45",INR,E100487,Approved,2024-11-20 17:51:30,2025-06-22 10:02:20,SFA App,BATCH_20260313_001,Carry forward
T400142,2025-02-01,E100305,P200548,1163,"39,11,371.91",INR,E100553,Approved,2025-12-26 12:28:33,2025-10-30 22:23:55,SAP,BATCH_20260313_001,Revised
T400143,2026-03-01,E100591,P200116,1231,"11,91,589.07",INR,E100737,Approved,2026-01-23 05:01:06,2025-05-04 08:53:39,Legacy ERP,BATCH_20260313_001,Revised
T400144,2026-01-01,E100562,P200680,203,"8,55,724.42",INR,E100490,Approved,2025-10-18 23:12:50,2025-07-03 14:59:48,CRM,BATCH_20260313_001,Manual upload
T400145,2025-08-01,E100684,P200167,515,"5,70,671.97",INR,E100329,Approved,2025-04-08 12:41:32,2025-05-26 07:48:11,SAP,BATCH_20260313_003,
T400146,2025-05-01,E100613,P200330,1281,"22,93,866.50",INR,E100686,Approved,2025-12-06 15:36:59,2025-01-02 18:39:04,Legacy ERP,BATCH_20260313_002,Manual upload
T400147,2025-08-01,E100432,P200070,89,,INR,E100736,Pending,2025-05-26 23:10:20,2025-09-05 22:25:08,SAP,BATCH_20260313_001,
T400148,2025-01-01,E100147,P200540,759,"15,82,555.20",INR,E100385,Approved,2025-12-17 01:48:16,2025-06-02 08:04:22,SFA App,BATCH_20260313_002,Revised
T400149,2025-12-01,E100044,P200384,969,"39,14,976.51",INR,E100194,Approved,2024-12-29 14:20:34,2025-10-18 05:52:58,CRM,BATCH_20260313_003,
T400150,2025-08-01,E100331,P200199,109,"65,342.90",INR,E100030,Rejected,2025-10-07 14:11:00,2025-12-10 06:09:57,Legacy ERP,BATCH_20260313_003,Revised
T400151,2025-11-01,E100146,P200233,1003,"40,31,017.79",INR,E100631,Pending,2026-02-22 12:24:55,2025-10-07 10:13:53,CRM,BATCH_20260313_002,
T400152,2025-05-01,E100303,P200518,369,"7,12,199.99",INR,E100750,Approved,2025-07-08 14:22:30,2025-11-21 09:27:50,Legacy ERP,BATCH_20260313_003,Carry forward
T400153,2025-09-01,E100697,P200450,811,"14,78,931.43",INR,E100186,Approved,2025-06-18 18:15:16,2025-07-17 17:43:08,Legacy ERP,BATCH_20260313_001,Manual upload
T400154,2025-03-01,E100357,P200148,1416,"33,76,399.97",INR,E100567,Approved,2025-07-30 12:15:16,2025-11-18 02:17:18,SFA App,BATCH_20260313_003,Manual upload
T400155,2025-08-01,E100455,P200308,884,"31,08,847.97",INR,E100019,Approved,2025-07-27 17:28:54,2026-02-02 05:31:31,SFA App,BATCH_20260313_001,Manual upload
T400156,2025-09-01,E999999,P200553,1677,"40,02,919.11",INR,E100281,Pending,2024-11-05 10:43:44,2025-01-16 21:52:53,Legacy ERP,BATCH_20260313_002,Carry forward
T400157,2025-03-01,E100416,P200180,1735,"6,73,100.11",INR,E100548,Approved,2026-01-14 10:49:07,2025-06-27 07:05:08,SAP,BATCH_20260313_002,
