product_id,product_code,product_name,generic_name,division,therapeutic_area,dosage_form,strength,pack_size,mrp,launch_date,manufacturing_site,is_cold_chain,tax_percent,status,created_at,updated_at,source_system,batch_id,ad_hoc_attribute
P200011,PRD5011,GastroEase DS,Atorvastatin,Gastro,Gastroenterology,Suspension,250 mg,1x30,"5,747.11",2017-03-16,Goa,Y,12,Active,2023-04-13 09:31:54,2025-11-28 20:26:47,SAP,BATCH_20260313_002,Legacy SKU
P200012,PRD5012,InfecCure Forte,Atorvastatin,Anti-Infective,Infectious Disease,Injection,100 mg,60 ml,852.48,2016-03-09,Vizag,N,12,Active,2025-04-28 14:08:43,2025-07-18 07:25:35,SAP,BATCH_20260313_002,Promo Pack
P200013,PRD5013,GlucoFree MR,Atorvastatin,Diabetes,Endocrinology,Capsule,100 mg,1x30,"9,109.75",2023-08-29,Baddi,N,12,Active,2025-07-19 20:53:53,2025-10-15 12:01:18,CRM,BATCH_20260313_002,Special Tender
P200014,PRD5014,GastroEase Plus,Azithromycin,Gastro,Gastroenterology,Syrup,5 mg,1x30,"5,850.93",2015-02-10,Baddi,N,12,Active,2024-03-08 00:52:25,2025-08-30 22:50:56,SAP,BATCH_20260313_003,Legacy SKU
P200015,PRD5015,OncoRelief OD,Azithromycin,Oncology,Oncology,Ointment,250 mg,1x15,"7,654.68",2019-03-16,Goa,N,18,Active,2025-06-01 10:13:32,2026-01-25 10:43:38,SAP,BATCH_20260313_002,Special Tender
P200016,PRD5016,PulmoAir DS,Pembrolizumab,Respiratory,Pulmonology,Inhaler,100 mg,10 ml,"6,103.68",2016-10-31,Ahmedabad,N,5,Active,2024-10-06 20:20:54,2025-01-12 21:40:19,CRM,BATCH_20260313_001,
P200017,PRD5017,InfecCure,Metformin,Anti-Infective,Infectious Disease,Ointment,5 mg,1x30,"6,739.80",unknown,Ahmedabad,N,5,Active,2023-05-06 02:25:48,2025-03-25 18:59:43,SAP,BATCH_20260313_002,Legacy SKU
P200018,PRD5018,OncoRelief MR,Pembrolizumab,Oncology,Oncology,Injection,500 mg,5 vials,"1,554.17",2023-10-23,Hyderabad,Y,12,Active,2023-01-13 17:27:52,2026-03-02 09:39:16,CRM,BATCH_20260313_002,Imported
P200019,PRD5019,NeuroCalm DS,Budesonide,Neuro,Neurology,Tablet,10 mg,1x10,"2,372.76",2025-08-07,Vizag,Y,5,Active,2025-05-07 14:01:24,2025-11-03 05:04:39,Legacy ERP,BATCH_20260313_003,Special Tender
P200020,PRD5020,PulmoAir Forte,Gabapentin,Respiratory,Pulmonology,Capsule,5 mg,1x30,"5,071.33",2023-08-15,Vizag,Y,5,Active,2023-06-04 14:46:34,2025-02-27 13:30:32,SAP,BATCH_20260313_002,Special Tender
P200021,PRD5021,NeuroCalm,Atorvastatin,Neuro,Neurology,Tablet,250 mg,1x15,"8,388.21",2012-07-22,Goa,Y,18,Active,2024-11-03 00:12:28,2026-02-01 01:07:30,SAP,BATCH_20260313_003,Legacy SKU
P200022,PRD5022,GastroEase Plus,Budesonide,Gastro,Gastroenterology,Tablet,250 mg,1x30,"5,334.03",2020-01-04,Baddi,N,5,Active,2025-12-18 05:38:26,2025-10-09 05:41:55,Legacy ERP,BATCH_20260313_002,Imported
P200023,PRD5023,DermaSoft,Clobetasol,Dermatology,Dermatology,Ointment,500 mg,1x10,"6,387.32",2010-06-07,Baddi,Y,12,Active,2025-05-16 18:43:07,2026-01-04 19:56:57,SFA App,BATCH_20260313_001,Legacy SKU
P200024,PRD5024,InfecCure DS,Pembrolizumab,Anti-Infective,Infectious Disease,Suspension,50 mg,,"6,172.15",2010-05-08,Vizag,Y,12,Active,2024-06-25 08:17:13,2025-06-16 19:24:40,CRM,BATCH_20260313_003,Promo Pack
P200025,PRD5025,DermaSoft OD,Atorvastatin,Dermatology,Dermatology,Inhaler,100 mg,100 ml,"7,992.02",2010-02-18,Hyderabad,N,5,Active,2025-02-04 06:26:38,2025-01-10 18:05:59,CRM,BATCH_20260313_001,Special Tender
P200026,PRD5026,DermaSoft DS,Azithromycin,Dermatology,Dermatology,Injection,10 mg,1x10,"9,132.71",2022/05/14,Ahmedabad,N,5,Active,2024-08-24 07:24:20,2025-03-10 22:19:02,Legacy ERP,BATCH_20260313_002,Legacy SKU
P200027,PRD5027,GastroEase Plus,Azithromycin,Gastro,Gastroenterology,Suspension,20 mg,60 ml,"9,277.69",2025-09-12,Hyderabad,N,18,Active,2025-11-10 17:09:07,2025-06-30 22:36:28,SFA App,BATCH_20260313_001,Imported
P200028,PRD5028,DermaSoft OD,Budesonide,Dermatology,Dermatology,Capsule,20 mg,100 ml,421.91,2019-03-22,Ahmedabad,N,12,Active,2023-09-22 11:37:19,2025-10-18 15:58:54,CRM,BATCH_20260313_001,
P200029,PRD5029,NeuroCalm MR,Pantoprazole,Neuro,Neurology,Ointment,10 mg,60 ml,153.64,2018-09-05,Baddi,N,18,Active,2023-12-29 06:57:22,2025-07-13 19:37:58,CRM,BATCH_20260313_003,Imported
P200030,PRD5030,PulmoAir MR,Pantoprazole,Respiratory,Pulmonology,Ointment,10 mg,1x30,"7,007.68",2020-09-16,Hyderabad,N,12,Active,2023-09-06 07:16:33,2025-03-30 01:33:55,Legacy ERP,BATCH_20260313_003,Legacy SKU
P200031,PRD5031,GlucoFree MR,Metformin,Diabetes,Endocrinology,Capsule,20 mg,1x15,"3,991.03",13-13-2024,Pune,N,5,Active,2025-08-13 12:09:53,2025-11-12 23:47:04,Legacy ERP,BATCH_20260313_003,Legacy SKU
P200032,PRD5032, CardioZen  ,Metformin,Cardio,Cardiology,Tablet,500 mg,1x30,"8,002.03",2022-08-26,Hyderabad,N,5,Active,2025-06-09 20:20:53,2025-12-10 12:19:10,CRM,BATCH_20260313_002,
P200033,PRD5033,dermasoft,Budesonide,Dermatology,Dermatology,Syrup,100 mg,100 ml,348.76,2013-05-24,Ahmedabad,N,18,Discontinued,2023-07-29 19:16:35,2025-11-14 12:08:58,SAP,BATCH_20260313_003,Promo Pack
P200034,PRD5034,GastroEase Plus,Clobetasol,Gastro,Gastroenterology,Capsule,100 mg,1x15,72.24,2011-11-29,Ahmedabad,Y,18,Active,2024-11-13 15:09:48,2026-01-27 20:58:46,Legacy ERP,BATCH_20260313_001,Promo Pack
P200035,PRD5035,PulmoAir OD,Pembrolizumab,Respiratory,Pulmonology,Syrup,500 mg,1x30,756.28,2015-10-12,Vizag,N,12,Active,2023-04-17 15:31:31,2025-04-11 20:10:04,SFA App,BATCH_20260313_002,
P200036,PRD5036,PulmoAir MR,Atorvastatin,Respiratory,Pulmonology,Capsule,50 mg,1x10,"8,215.76",2024-11-16,Goa,Y,18,Active,2025-09-18 06:13:29,2025-01-21 06:19:46,CRM,BATCH_20260313_002,Promo Pack
P200037,PRD5037,NeuroCalm Forte,Gabapentin,Neuro,Neurology,Injection,500 mg,10 ml,"4,397.75",2022-05-03,Ahmedabad,Y,5,Active,2023-05-15 00:44:53,2025-08-29 13:20:04,SAP,BATCH_20260313_002,
P200038,PRD5038,DermaSoft,Pembrolizumab,Dermatology,Dermatology,Suspension,5 mg,10 ml,"3,448.45",2015-05-12,Ahmedabad,Y,12,Active,2023-05-31 17:50:22,2025-09-18 00:22:22,SAP,BATCH_20260313_003,
P200039,PRD5039,DermaSoft Forte,Pantoprazole,Dermatology,Dermatology,Inhaler,500 mg,10 ml,"5,950.33",01/02/2016,Baddi,N,12,Active,2024-08-06 00:37:15,2026-03-01 00:45:19,Legacy ERP,BATCH_20260313_002,
P200040,PRD5040,NeuroCalm DS,Pembrolizumab,Neuro,Neurology,Capsule,5 mg,5 vials,"5,336.05",2023-07-21,Goa,N,12,Active,2023-03-23 07:32:23,2026-02-25 17:35:25,Legacy ERP,BATCH_20260313_003,
P200041,PRD5041,InfecCure Plus,Pembrolizumab,Anti-Infective,Infectious Disease,Ointment,100 mg,60 ml,932.77,2013-05-26,Pune,N,18,Active,2024-02-22 23:15:21,2026-01-05 13:08:12,SAP,BATCH_20260313_001,Imported
P200042,PRD5042,InfecCure Plus,Atorvastatin,Anti-Infective,Infectious Disease,Suspension,20 mg,1x30,"4,280.78",14 Apr 2021,Goa,N,5,Active,2023-03-26 21:45:07,2025-11-03 22:39:05,Legacy ERP,BATCH_20260313_001,
P200043,PRD5043,GlucoFree DS,Metformin,Diabetes,Endocrinology,Syrup,10 mg,100 ml,"5,472.51",2018-09-29,Pune,Y,12,Active,2023-09-02 03:38:41,2025-07-26 01:18:29,CRM,BATCH_20260313_001,
P200044,PRD5044,DERMASoft od,Gabapentin,Dermatology,Dermatology,Syrup,10 mg,60 ml,"2,949.89",2025-03-18,Baddi,Y,18,Discontinued,2023-06-13 14:48:04,2025-05-29 12:47:04,Legacy ERP,BATCH_20260313_003,Legacy SKU
P200045,PRD5045,NeuroCalm OD,Pembrolizumab,Neuro,Neurology,Suspension,50 mg,5 vials,"2,478.57",2018-09-10,Goa,N,5,Active,2023-01-28 04:47:24,2025-02-07 23:34:19,SAP,BATCH_20260313_001,Promo Pack
P200046,PRD5046,InfecCure OD,Pantoprazole,Anti-Infective,Infectious Disease,Ointment,500 mg,60 ml,"3,286.97",2010-02-18,Ahmedabad,Y,5,Active,2024-05-03 13:53:00,2025-07-09 01:08:46,SAP,BATCH_20260313_003,Special Tender
P200047,PRD5047,NeuroCalm MR,Atorvastatin,Neuro,Neurology,Suspension,500 mg,1x10,474.48,23-03-2022,Baddi,Y,18,Active,2025-01-17 04:01:38,2025-05-15 10:10:44,CRM,BATCH_20260313_002,Promo Pack
P200048,PRD5048,InfecCure Forte,Pembrolizumab,Anti-Infective,Infectious Disease,Injection,250 mg,60 ml,"6,156.27",2015-03-10,Baddi,Y,12,Active,2025-10-06 09:42:20,2025-05-12 08:40:37,CRM,BATCH_20260313_001,Promo Pack
P200049,PRD5049,NeuroCalm MR,Clobetasol,Neuro,Neurology,Capsule,250 mg,60 ml,"1,264.31",2016/04/25,Baddi,N,12,Active,2025-12-20 06:18:56,2026-03-06 09:48:21,SFA App,BATCH_20260313_002,Legacy SKU
P200050,PRD5050,OncoRelief,Azithromycin,Oncology,Oncology,Ointment,100 mg,5 vials,"3,132.57",2018-04-28,Baddi,Y,12,Active,2025-05-10 04:19:34,2025-08-05 00:28:00,Legacy ERP,BATCH_20260313_002,Legacy SKU
P200051,PRD5051,GastroEase DS,Metformin,Gastro,Gastroenterology,Syrup,50 mg,1x10,311.43,2014-05-31,Hyderabad,Y,5,Active,2023-07-04 13:31:51,2025-02-18 10:27:03,Legacy ERP,BATCH_20260313_003,Special Tender
P200052,PRD5052,CardioZen DS,Budesonide,Cardio,Cardiology,Capsule,20 mg,1x15,"3,060.93",2015-09-26,Baddi,N,12,Active,2025-01-18 06:06:43,2026-02-20 10:44:58,SFA App,BATCH_20260313_003,
P200053,PRD5053,DermaSoft Plus,Metformin,Dermatology,Dermatology,Suspension,250 mg,10 ml,"5,189.81",2022-11-05,Ahmedabad,N,18,Discontinued,2025-04-08 18:13:27,2025-06-19 12:56:07,CRM,BATCH_20260313_001,Promo Pack
P200054,PRD5054,InfecCure,Atorvastatin,Anti-Infective,Infectious Disease,Syrup,20 mg,100 ml,527.17,2022-07-20,Hyderabad,N,12,Active,2023-07-01 17:16:15,2025-01-04 20:06:36,CRM,BATCH_20260313_001,
P200055,PRD5055,DermaSoft DS,Pembrolizumab,Dermatology,Dermatology,Inhaler,50 mg,10 ml,"6,894.80",2014-11-13,Vizag,Y,5,Active,2025-04-09 09:16:02,2025-04-06 17:58:08,Legacy ERP,BATCH_20260313_001,Legacy SKU
P200056,PRD5056,GastroEase OD,Pembrolizumab,Gastro,Gastroenterology,Syrup,500 mg,10 ml,"4,686.67",2023-11-06,Vizag,Y,5,Active,2024-11-23 20:09:02,2025-03-11 07:43:11,SAP,BATCH_20260313_003,
P200057,PRD5057,NeuroCalm Plus,Budesonide,Neuro,Neurology,Suspension,250 mg,1x10,"5,106.99",2019-06-30,Hyderabad,N,12,Active,2025-12-11 04:56:38,2025-01-05 21:30:21,Legacy ERP,BATCH_20260313_001,Promo Pack
P200058,PRD5058,NEUROCalm ds,Clobetasol,Neuro,Neurology,Injection,250 mg,1x30,"6,019.69",2018/09/22,Hyderabad,Y,5,Active,2025-03-16 09:15:13,2025-12-11 04:11:49,SFA App,BATCH_20260313_003,Legacy SKU
P200059,PRD5059,OncoRelief OD,Metformin,Oncology,Oncology,Injection,50 mg,10 ml,"5,008.61",2020-06-21,Ahmedabad,N,12,Active,2023-02-27 14:00:13,2025-10-13 11:03:15,SFA App,BATCH_20260313_001,Promo Pack
P200060,PRD5060,DermaSoft MR,Gabapentin,Dermatology,Dermatology,Tablet,10 mg,60 ml,413.60,2016-10-28,Vizag,N,18,Active,2025-10-12 08:01:43,2025-11-28 13:30:50,Legacy ERP,BATCH_20260313_003,Legacy SKU
P200061,PRD5061,GastroEase DS,Atorvastatin,Gastro,Gastroenterology,Suspension,50 mg,10 ml,"8,187.14",2018-04-30,Hyderabad,N,5,Active,2024-12-31 20:54:50,2026-02-19 12:56:50,Legacy ERP,BATCH_20260313_002,
P200062,PRD5062,NeuroCalm Forte,Budesonide,Neuro,Neurology,Tablet,100 mg,10 ml,"2,178.46",2017-01-24,Goa,N,18,Active,2024-07-22 19:50:04,2025-05-12 19:58:45,SFA App,BATCH_20260313_001,Imported
P200063,PRD5063,DermaSoft Plus,Budesonide,Dermatology,Dermatology,Capsule,500 mg,1x30,"7,644.64",2016-04-29,Hyderabad,Y,5,Active,2024-06-10 12:06:08,2025-02-21 05:45:35,SAP,BATCH_20260313_003,
P200064,PRD5064,DermaSoft MR,Atorvastatin,Dermatology,Dermatology,Tablet,100 mg,1x30,"1,833.95",2017-08-12,Vizag,Y,5,Discontinued,2025-12-23 22:58:19,2025-09-12 09:11:52,CRM,BATCH_20260313_002,Special Tender
P200065,PRD5065,infeccure,Pembrolizumab,Anti-Infective,Infectious Disease,Capsule,250 mg,60 ml,"6,349.22",2021-01-10,Baddi,N,18,Active,2024-08-17 02:24:33,2025-01-26 12:44:04,CRM,BATCH_20260313_003,Promo Pack
P200066,PRD5066,DermaSoft OD,Gabapentin,Dermatology,Dermatology,Injection,50 mg,,"6,706.99",2022-11-24,Vizag,N,18,Active,2025-03-03 06:56:43,2025-10-05 07:00:54,SFA App,BATCH_20260313_001,Legacy SKU
P200067,PRD5067,gastroease plus,Pantoprazole,Gastro,Gastroenterology,Tablet,500 mg,1x10,"1,343.27",03/07/2022,Pune,N,18,Active,2025-11-03 13:17:21,2025-09-13 21:59:33,SFA App,BATCH_20260313_002,Promo Pack
P200068,PRD5068,DermaSoft Plus,Pantoprazole,Dermatology,Dermatology,Syrup,50 mg,,557.83,2013-11-11,Pune,N,18,Discontinued,2024-08-19 21:03:22,2025-02-06 13:24:22,Legacy ERP,BATCH_20260313_002,
P200069,PRD5069,ONCORELIef forte,Gabapentin,Oncology,Oncology,Tablet,10 mg,1x30,"8,359.94",2015-11-01,Goa,N,18,Under Review,2023-02-04 16:49:14,2026-03-05 10:52:30,SAP,BATCH_20260313_003,
P200070,PRD5070, InfecCure OD  ,Gabapentin,Anti-Infective,Infectious Disease,Capsule,5 mg,1x15,"5,071.97",2014-05-09,Hyderabad,Y,18,Active,2023-04-10 17:39:47,2025-10-01 07:01:38,Legacy ERP,BATCH_20260313_003,
P200071,PRD5071,PulmoAir MR,Pantoprazole,Respiratory,Pulmonology,Inhaler,20 mg,100 ml,"6,000.58",2010-04-10,Goa,N,5,Active,2024-11-20 04:35:17,2025-02-26 06:23:24,Legacy ERP,BATCH_20260313_003,
P200072,PRD5072,NeuroCalm OD,Pantoprazole,Neuro,Neurology,Suspension,20 mg,1x10,"2,978.22",2014-08-04,Baddi,N,12,Active,2024-04-01 18:16:43,2025-01-10 10:37:53,SAP,BATCH_20260313_001,Special Tender
P200073,PRD5073,CardioZen MR,Atorvastatin,Cardio,Cardiology,Suspension,10 mg,100 ml,927.68,2015-08-18,Goa,Y,12,Active,2023-02-05 14:12:54,2025-06-09 04:02:14,SAP,BATCH_20260313_003,Special Tender
P200074,PRD5074,InfecCure MR,Clobetasol,Anti-Infective,Infectious Disease,Tablet,50 mg,1x30,698.93,2019-10-19,Vizag,N,18,Active,2023-11-22 06:00:32,2025-09-25 23:08:53,Legacy ERP,BATCH_20260313_003,Imported
P200075,PRD5075,GastroEase Forte,Pembrolizumab,Gastro,Gastroenterology,Capsule,250 mg,60 ml,"2,199.97",2012-05-18,Ahmedabad,Y,18,Active,2025-02-10 22:39:48,2025-05-24 05:29:26,SFA App,BATCH_20260313_002,Imported
P200076,PRD5076,PulmoAir OD,Pantoprazole,Respiratory,Pulmonology,Injection,5 mg,5 vials,"5,833.44",2014-04-26,Vizag,Y,12,Active,2025-12-20 02:29:34,2025-09-14 04:18:49,CRM,BATCH_20260313_002,Promo Pack
P200077,PRD5077,DermaSoft OD,Atorvastatin,Dermatology,Dermatology,Injection,100 mg,1x30,"2,354.73",2023-12-21,Hyderabad,Y,18,Active,2025-07-11 19:32:37,2025-01-14 04:56:10,CRM,BATCH_20260313_002,Imported
P200078,PRD5078,CardioZen OD,Azithromycin,Cardio,Cardiology,Tablet,5 mg,100 ml,"5,459.22",2017-02-04,Ahmedabad,N,18,Active,2025-06-30 13:31:20,2025-06-10 06:37:33,SAP,BATCH_20260313_003,Imported
P200079,PRD5079,CardioZen,Metformin,Cardio,Cardiology,Syrup,500 mg,10 ml,"3,186.58",2014-09-18,Goa,N,12,Active,2025-03-10 05:25:52,2025-10-09 06:32:16,SFA App,BATCH_20260313_002,Legacy SKU
P200080,PRD5080,CardioZen Plus,Metformin,Cardio,Cardiology,Capsule,500 mg,1x15,"3,958.65",2025-05-15,Vizag,Y,18,Active,2023-06-30 17:56:51,2025-10-07 03:09:59,SFA App,BATCH_20260313_003,
P200081,PRD5081,OncoRelief Plus,Atorvastatin,Oncology,Oncology,Injection,500 mg,5 vials,"7,500.97",2024-07-21,Baddi,Y,5,Active,2023-09-28 07:30:49,2025-03-17 18:35:09,SFA App,BATCH_20260313_003,Imported
P200082,PRD5082,PulmoAir,Pantoprazole,Respiratory,Pulmonology,Inhaler,10 mg,1x30,"8,890.29",2021-06-21,Hyderabad,N,5,Active,2024-11-02 14:32:39,2025-07-31 16:50:46,CRM,BATCH_20260313_001,Promo Pack
P200083,PRD5083,DermaSoft Plus,Metformin,Dermatology,Dermatology,Suspension,250 mg,10 ml,"7,941.87",2020-12-02,Hyderabad,Y,12,Active,2023-03-29 21:54:49,2025-06-12 14:43:57,SAP,BATCH_20260313_002,Legacy SKU
P200084,PRD5084,GlucoFree MR,Budesonide,Diabetes,Endocrinology,Ointment,100 mg,10 ml,"8,106.36",2023-07-15,Pune,N,18,Active,2023-08-03 02:19:04,2025-06-07 15:03:41,SAP,BATCH_20260313_001,Legacy SKU
P200085,PRD5085,DermaSoft DS,Azithromycin,Dermatology,Dermatology,Tablet,500 mg,1x10,"7,399.26",2018-12-26,Goa,Y,18,Active,2025-06-15 14:39:28,2025-10-03 01:55:56,CRM,BATCH_20260313_001,Promo Pack
P200086,PRD5086,NeuroCalm MR,Azithromycin,Neuro,Neurology,Ointment,20 mg,10 ml,287.57,2016-07-19,Hyderabad,N,18,Discontinued,2024-09-02 00:04:27,2025-04-22 04:39:20,SFA App,BATCH_20260313_001,Special Tender
P200087,PRD5087,PulmoAir Forte,Clobetasol,Respiratory,Pulmonology,Injection,500 mg,1x10,"1,615.44",2023-01-23,Vizag,Y,18,Active,2023-08-02 16:25:35,2026-02-01 23:13:45,SAP,BATCH_20260313_001,Imported
P200088,PRD5088,GlucoFree Forte,Pembrolizumab,Diabetes,Endocrinology,Suspension,20 mg,60 ml,"1,761.37",26 Oct 2025,Pune,Y,18,Active,2024-06-04 17:15:37,2025-08-10 12:01:29,CRM,BATCH_20260313_002,Promo Pack
P200089,PRD5089,GastroEase,Metformin,Gastro,Gastroenterology,Syrup,500 mg,10 ml,"5,656.42",2015-09-17,Vizag,Y,18,Active,2023-08-24 13:04:28,2025-01-02 10:00:10,CRM,BATCH_20260313_001,Imported
P200090,PRD5090,GlucoFree MR,Gabapentin,Diabetes,Endocrinology,Tablet,50 mg,60 ml,"7,528.26",2011-08-12,Vizag,N,12,Active,2023-04-30 22:37:16,2026-02-23 17:13:44,SFA App,BATCH_20260313_002,Promo Pack
P200091,PRD5091,CardioZen MR,Gabapentin,Cardio,Cardiology,Inhaler,250 mg,1x15,"2,411.57",2012-10-24,Baddi,Y,12,Under Review,2024-12-13 23:01:36,2026-01-07 20:37:24,CRM,BATCH_20260313_001,Imported
P200092,PRD5092,PulmoAir OD,Pantoprazole,Respiratory,Pulmonology,Injection,50 mg,10 ml,"9,384.72",04/23/2020,Vizag,N,5,Active,2023-03-07 04:50:54,2026-03-06 04:08:43,CRM,BATCH_20260313_002,Imported
P200093,PRD5093,CardioZen,Budesonide,Cardio,Cardiology,Injection,5 mg,1x15,"6,096.62",26/10/2019,Ahmedabad,Y,12,Active,2024-09-15 08:52:25,2025-03-03 08:18:01,CRM,BATCH_20260313_001,Legacy SKU
P200094,PRD5094,DermaSoft Forte,Pantoprazole,Dermatology,Dermatology,Syrup,5 mg,10 ml,"7,977.28",2018-11-14,Baddi,N,5,Active,2023-09-20 12:13:04,2025-10-18 18:50:48,Legacy ERP,BATCH_20260313_003,Special Tender
P200095,PRD5095,DermaSoft DS,Azithromycin,Dermatology,Dermatology,Injection,20 mg,60 ml,"2,620.85",2024/05/04,Baddi,Y,5,Discontinued,2024-10-24 00:11:47,2026-02-15 10:21:04,CRM,BATCH_20260313_002,Promo Pack
P200096,PRD5096,NeuroCalm OD,Budesonide,Neuro,Neurology,Ointment,100 mg,,"4,641.80",2013-02-26,Hyderabad,Y,12,Discontinued,2024-07-19 12:46:47,2025-12-23 02:23:43,SFA App,BATCH_20260313_002,Imported
P200097,PRD5097,PulmoAir Plus,Azithromycin,Respiratory,Pulmonology,Ointment,10 mg,1x30,"5,826.47",2012-07-26,Baddi,Y,18,Active,2023-01-29 18:20:18,2025-05-05 14:31:41,SFA App,BATCH_20260313_002,
P200098,PRD5098,PulmoAir MR,Atorvastatin,Respiratory,Pulmonology,Tablet,5 mg,100 ml,"5,299.63",2018-05-22,Baddi,N,5,Active,2024-10-26 02:04:16,2025-04-28 13:30:34,SFA App,BATCH_20260313_001,
P200099,PRD5099,CardioZen MR,Metformin,Cardio,Cardiology,Tablet,50 mg,5 vials,"4,019.84",2011-09-28,Ahmedabad,N,5,Active,2025-07-19 01:26:41,2025-10-08 20:53:00,CRM,BATCH_20260313_002,Imported
P200100,PRD5100,PulmoAir,Gabapentin,Respiratory,Pulmonology,Capsule,10 mg,5 vials,"1,968.51",2011-08-14,Baddi,Y,5,Active,2025-10-25 13:55:21,2025-11-28 22:21:58,SAP,BATCH_20260313_003,Promo Pack
P200101,PRD5101,OncoRelief,Pembrolizumab,Oncology,Oncology,Tablet,10 mg,1x30,"4,755.32",2012-02-22,Pune,N,18,Active,2023-10-18 00:06:55,2025-07-25 13:57:15,CRM,BATCH_20260313_003,Imported
P200102,PRD5102, OncoRelief DS  ,Budesonide,Oncology,Oncology,Suspension,10 mg,1x15,"1,324.47",2016-03-26,Baddi,N,12,Active,2023-02-26 03:42:47,2025-11-11 01:54:04,SAP,BATCH_20260313_001,Promo Pack
P200103,PRD5103,NeuroCalm MR,Pembrolizumab,Neuro,Neurology,Syrup,10 mg,1x15,"3,759.45",2012-04-07,Hyderabad,Y,5,Active,2024-06-04 10:53:55,2025-07-30 21:18:21,CRM,BATCH_20260313_001,Promo Pack
P200104,PRD5104,OncoRelief Forte,Pantoprazole,Oncology,Oncology,Suspension,100 mg,,"2,630.67",2016-09-06,Ahmedabad,Y,12,Active,2023-04-22 23:51:37,2025-07-02 07:27:48,SFA App,BATCH_20260313_003,Special Tender
P200105,PRD5105,PulmoAir MR,Clobetasol,Respiratory,Pulmonology,Capsule,20 mg,100 ml,"8,186.85",2022-05-04,Baddi,N,18,Active,2025-02-24 12:23:52,2025-06-20 18:54:04,Legacy ERP,BATCH_20260313_002,Special Tender
P200106,PRD5106,OncoRelief DS,Pantoprazole,Oncology,Oncology,Injection,20 mg,5 vials,"2,659.02",2024-05-06,Pune,Y,5,Active,2025-01-29 05:18:56,2025-08-15 08:59:48,SFA App,BATCH_20260313_002,Promo Pack
P200107,PRD5107,PulmoAir MR,Pantoprazole,Respiratory,Pulmonology,Capsule,20 mg,1x15,"8,680.23",2023-01-08,Pune,Y,5,Active,2025-03-06 15:59:37,2025-03-19 09:06:21,SFA App,BATCH_20260313_001,Legacy SKU
P200108,PRD5108,InfecCure,Budesonide,Anti-Infective,Infectious Disease,Syrup,500 mg,100 ml,"9,263.53",2019-05-21,Goa,N,18,Active,2024-05-19 21:36:01,2025-07-31 03:25:46,CRM,BATCH_20260313_002,Imported
