customer_id,customer_name,customer_type,specialty,hospital_name,city,state,zone,registration_no,status,onboarding_date,tier,created_at,updated_at,ad_hoc_col
C300049,Prime Kulkarni Clinic,Chemist,,,Raipur,Chhattisgarh,Central,,Active,2017-12-23,A,2025-07-30 00:26:24,2025-02-24 17:49:20,Legacy mapped
C300050,hospital sharma clinic,Clinic,General Physician,Manipal Nashik,Nashik,Maharashtra,West,REG675807,Active,2017/02/16,C,2025-05-24 12:54:30,2025-08-08 07:28:10,
C300051,Hope Gupta Pharmacy,Chemist,,,Vijayawada,Andhra Pradesh,South,REG582345,Active,2024-10-23,A,2024-12-12 12:42:54,2025-06-16 15:51:18,Legacy mapped
C300052,Care Mehta Pharmacy,Doctor,Gastroenterologist,Manipal Gaya,Gaya,Bihar,Central,REG179581,Active,2017-01-24,C,2024-11-30 08:27:57,2025-10-09 20:34:31,Legacy mapped
C300053,Dr. Iyer Hospital,Doctor,Dermatologist,Fortis Panipat,Panipat,Haryana,North,REG718446,Active,2021-09-15,A,2024-10-09 08:31:49,2025-09-18 01:43:02,Unverified
C300054,Prime Mishra Pharmacy,Doctor,General Physician,Narayana Indore,Indore,Madhya Pradesh,Central,REG589523,Active,2017-04-15,C,2023-04-24 01:28:13,2025-09-23 16:20:16,Needs clean-up
C300055,Care Gupta Pharmacy,Clinic,Pulmonologist,Manipal Vadodara,Vadodara,Gujarat,West,REG767132,Inactive,2020-02-06,A,2024-03-07 03:36:33,2025-06-12 18:24:31,
C300056,Dr. Agarwal Hospital,Hospital,Cardiologist,Yashoda Raipur,Raipur,Chhattisgarh,Central,REG786550,Active,2024-01-26,A,2023-06-27 18:41:02,2025-04-11 11:38:19,
C300057,Prime Iyer Hospital,Doctor,Pulmonologist,Global Kanpur,Kanpur,Uttar Pradesh,Central,REG960288,Active,2019-07-24,A,2024-05-20 17:34:45,2025-08-18 21:26:29,Needs clean-up
C300058,Prime Patel Clinic,Chemist,,,Nashik,Maharashtra,West,REG117506,Active,2022-04-11,C,2024-03-22 17:29:18,2025-05-29 21:44:41,Legacy mapped
C300059,Hospital Iyer Medicals,Clinic,Oncologist,Global Jaipur,Jaipur,Rajasthan,North,REG958725,Active,26/04/2021,A,2025-11-10 05:56:00,2025-08-30 03:22:59,Unverified
C300060,HOSPITAL gupta care,Doctor,Neurologist,Yashoda Gwalior,Gwalior,Madhya Pradesh,Central,REG457690,Active,2022-01-27,B,2023-05-27 18:08:45,2026-02-05 21:35:35,Legacy mapped
C300061,care bose hospital,Clinic,Diabetologist,Manipal Ludhiana,Ludhiana,Punjab,North,REG113567,Active,29/11/2021,C,2025-09-14 03:38:55,2025-11-26 05:17:48,Needs clean-up
C300062,Dr. Singh Pharmacy,Clinic,Neurologist,Aster Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,REG371333,Active,05/10/2025,B,2024-04-13 14:22:48,2025-04-01 11:28:46,Unverified
C300063,Hospital Kapoor Medicals,Chemist,,,Dibrugarh,Assam,East,REG217966,Active,2018-03-03,A,2023-08-18 10:47:27,2025-09-01 07:50:14,Unverified
C300064,City Kapoor Pharmacy,Chemist,,,Faridabad,Haryana,North,REG163212,Active,2022-12-20,A,2024-02-19 16:47:13,2025-02-04 18:14:16,Needs clean-up
C300065,Hope Kapoor Care,Chemist,,,Kolkata,West Bengal,East,REG882818,Active,2019-04-11,C,2024-05-08 06:49:34,2025-10-23 04:15:19,Unverified
C300066,Care Patel Hospital,Doctor,Gastroenterologist,Narayana Warangal,Warangal,Telangana,South,REG994676,Active,2018-07-01,B,2024-01-29 17:34:00,2026-02-26 20:12:51,Legacy mapped
C300067,Dr. Pillai Pharmacy,Clinic,Cardiologist,Yashoda Cuttack,Cuttack,Odisha,East,REG496187,Active,2025-04-02,B,2025-09-12 13:46:51,2025-04-03 06:40:30,
C300068,Hope Bose Clinic,Clinic,Pulmonologist,Fortis Thiruvananthapuram,Thiruvananthapuram,Kerala,South,REG298401,Inactive,2018-09-27,A,2024-07-28 02:49:50,2025-12-31 05:59:44,Legacy mapped
C300069,Hospital Agarwal Clinic,Clinic,General Physician,Medanta Kozhikode,Kozhikode,Kerala,South,REG199397,Inactive,2020-10-31,B,2024-07-23 02:53:34,2025-11-10 05:20:34,Legacy mapped
C300070,care yadav clinic,Hospital,General Physician,Yashoda Gurugram,Gurugram,Haryana,North,REG597909,Active,2023-11-14,A,2024-09-23 14:37:52,2026-01-22 17:24:23,Needs clean-up
C300071,HOSPITAL NAir hospital,Doctor,Diabetologist,Max Noida,Noida,Uttar Pradesh,North,REG527591,Inactive,2020-04-11,C,2024-03-06 09:28:24,2025-01-26 21:43:33,Legacy mapped
C300072,Hope Bose Clinic,Chemist,,,Hubballi,Karnataka,South,REG770952,Active,2024-06-14,A,2025-03-15 06:04:25,2025-04-14 07:01:54,Unverified
C300073,City Yadav Clinic,Hospital,Gastroenterologist,Apollo Mumbai,Mumbai,Maharashtra,West,REG317563,Active,2023-10-30,A,2025-11-21 09:50:56,2025-12-08 15:18:36,
C300074,Prime Verma Clinic,Hospital,Pulmonologist,Apollo Kanpur,Kanpur,Uttar Pradesh,North,REG823175,Active,2025-08-15,B,2025-06-02 05:48:09,2025-09-26 08:23:53,Unverified
C300075,Life Chawla Pharmacy,Chemist,,,Siliguri,West Bengal,East,REG469093,Active,2024-02-10,A,2025-11-13 09:33:27,2025-02-10 01:24:46,Needs clean-up
C300076,CARE KAPOOR MEDICALS,Doctor,Dermatologist,Care New Delhi,New Delhi,Delhi,North,REG792188,Active,2024-02-11,C,2023-08-05 23:24:57,2026-02-25 04:57:19,Unverified
C300077,Hope Joshi Hospital,Clinic,Dermatologist,Care Noida,Noida,Delhi,North,REG331576,Active,08/11/2017,B,2023-04-25 05:58:43,2025-05-21 04:57:13,Legacy mapped
C300078,Life Patel Care,Doctor,Pulmonologist,Apollo Muzaffarpur,Muzaffarpur,Bihar,East,REG892670,Active,2017-04-09,A,2024-05-14 21:42:01,2025-06-27 20:59:47,
C300079,Hope Jain Clinic,Chemist,,,Indore,Madhya Pradesh,West,REG913908,Active,2019-11-10,B,2024-10-10 11:16:47,2026-02-19 02:10:36,Legacy mapped
C300080,Prime Iyer Medicals,Doctor,Diabetologist,Yashoda Guwahati,Guwahati,Assam,East,REG924325,Active,31 Jul 2023,B,2023-10-12 03:54:28,2025-07-20 17:00:07,Legacy mapped
C300081,Dr. Jain Care,Chemist,,,Bilaspur,Chhattisgarh,West,REG847063,Active,2023-09-25,A,2024-04-19 19:18:15,2025-01-28 07:52:44,Legacy mapped
C300082,Care Chawla Pharmacy,Clinic,Diabetologist,Manipal Durgapur,Durgapur,West Bengal,East,REG630399,Inactive,2025-07-05,C,2024-04-20 15:41:25,2025-07-01 08:13:38,Unverified
C300083,Hospital Sharma Medicals,Hospital,General Physician,Medanta Thiruvananthapuram,Thiruvananthapuram,Kerala,South,REG401446,Active,2018-06-09,C,2023-04-06 16:20:51,2025-01-11 10:03:48,Unverified
C300084,Hope Sharma Hospital,Chemist,,,Muzaffarpur,Bihar,Central,REG321672,Active,2017/09/01,A,2025-09-16 08:18:16,2025-08-29 18:44:14,
C300085,Prime Sharma Care,Chemist,,,Lucknow,Uttar Pradesh,North,REG513647,Active,2024-09-18,B,2025-12-21 12:21:43,2025-09-07 06:30:18,Unverified
C300086,Life Nair Clinic,Doctor,Dermatologist,Apollo Gaya,Gaya,Bihar,Central,REG992549,Active,2018-03-01,A,2023-01-14 17:06:34,2025-01-01 06:27:33,Legacy mapped
C300087,Dr. Mishra Clinic,Chemist,,,Bilaspur,Chhattisgarh,Central,REG222648,Active,26 Oct 2023,B,2025-09-16 14:23:08,2025-12-20 13:26:35,Unverified
C300088,Hospital Yadav Pharmacy,Clinic,Cardiologist,Care Bhopal,Bhopal,Madhya Pradesh,Central,REG374333,Active,2019-10-15,B,2024-05-14 15:24:56,2025-05-18 05:39:53,Legacy mapped
C300089,Hospital Chawla Hospital,Chemist,,,Raipur,Chhattisgarh,Central,REG990518,Active,2023-01-10,B,2024-01-21 05:38:51,2025-10-14 14:56:15,Unverified
C300090,Prime Mishra Pharmacy,Clinic,Pulmonologist,Medanta New Delhi,New Delhi,Delhi,North,REG311503,Active,2022-03-13,A,2024-07-18 18:39:02,2025-10-22 13:29:34,
C300091,Hope Das Pharmacy,Chemist,,,Varanasi,Uttar Pradesh,Central,REG917674,Inactive,2025-09-03,C,2024-05-28 00:21:30,2025-04-16 12:34:57,
C300092,Prime Reddy Pharmacy,Chemist,,,Udaipur,Rajasthan,North,REG755254,Active,2017-05-10,B,2023-11-27 03:57:43,2025-09-15 21:50:32,Needs clean-up
C300093,Care Pillai Pharmacy,Clinic,Cardiologist,Aster Nashik,Nashik,Maharashtra,West,REG900270,Active,01/13/2023,B,2025-05-09 14:59:58,2025-02-26 04:24:20,Needs clean-up
C300094,Hospital Das Medicals,Doctor,Diabetologist,Yashoda Kochi,Kochi,Kerala,South,REG780026,Active,2024-07-22,C,2023-05-12 19:56:25,2025-01-14 20:33:18,
C300095,Life Gupta Care,Hospital,Neurologist,Medanta Silchar,Silchar,Assam,East,REG536550,Active,2021-02-18,C,2025-04-06 15:01:31,2026-02-25 03:27:48,Unverified
C300096, City Mishra Care  ,Chemist,,,Dibrugarh,Assam,East,,Active,2018-09-03,A,2023-09-09 01:46:27,2025-06-09 01:28:49,Needs clean-up
C300097,City Joshi Medicals,Hospital,Diabetologist,Narayana Thiruvananthapuram,Thiruvananthapuram,Kerala,South,REG420344,Active,2025-04-30,B,2024-06-13 18:45:31,2025-10-22 23:38:09,Unverified
C300098,Life Jain Hospital,Clinic,Oncologist,Narayana Jodhpur,Jodhpur,Rajasthan,North,REG976412,Active,2024-06-25,C,2024-05-13 21:30:58,2025-02-04 01:53:44,Unverified
C300099,City Kulkarni Care,Chemist,,,Kozhikode,Kerala,South,NA,Active,2019-03-10,C,2025-04-01 00:49:40,2025-02-24 15:18:59,Legacy mapped
C300100,Life Verma Care,Chemist,,,Gurugram,Haryana,North,REG204440,Active,2022-07-18,B,2024-12-22 04:30:49,2025-01-01 14:07:09,Needs clean-up
C300101,Hospital Jain Care,Clinic,Gastroenterologist,Medanta Patna,Patna,Bihar,Central,REG830124,Active,2023-10-25,A,2024-08-25 06:32:35,2025-11-19 03:31:58,Needs clean-up
C300102,Dr. Nair Hospital,Clinic,Diabetologist,Fortis Bhopal,Bhopal,Madhya Pradesh,West,REG343410,Active,2020-06-19,B,2024-07-12 15:08:21,2025-08-03 01:52:18,Needs clean-up
C300103,Life Chawla Care,Hospital,General Physician,Fortis Raipur,Raipur,Chhattisgarh,West,REG934183,Active,27/01/2019,A,2024-05-01 08:01:44,2025-11-16 15:14:05,Legacy mapped
C300104,Life Kapoor Pharmacy,Clinic,Dermatologist,Medanta Hubballi,Hubballi,Karnataka,South,REG440076,Active,2020-02-12,A,2023-08-22 22:55:26,2025-10-17 08:14:21,Legacy mapped
C300105,Life Joshi Care,Doctor,Dermatologist,Fortis Kozhikode,Kozhikode,Kerala,South,REG644519,Active,2019-07-08,A,2023-08-26 07:24:49,2026-02-17 14:54:35,Needs clean-up
C300106,Life Reddy Hospital,Hospital,Neurologist,Care Gaya,Gaya,Bihar,East,,Active,2022-08-01,A,2025-01-15 05:39:23,2025-01-19 17:25:34,Needs clean-up
C300107,Care Kulkarni Medicals,Hospital,Diabetologist,Yashoda Patna,Patna,Bihar,East,REG787656,Active,2023-04-19,B,2023-11-05 12:15:20,2025-08-09 00:02:24,Legacy mapped
C300108,Life Kulkarni Pharmacy,Doctor,Neurologist,Narayana Patna,Patna,Bihar,East,REG713448,Active,2019-10-23,C,2024-11-16 06:04:53,2025-03-30 14:51:12,Unverified
C300109,Hope Das Pharmacy,Doctor,General Physician,Fortis Muzaffarpur,Muzaffarpur,Bihar,East,REG381903,Active,10 Feb 2020,B,2023-06-07 10:09:44,2026-02-16 13:49:21,Legacy mapped
C300110,Dr. Pillai Care,Clinic,Pulmonologist,Apollo Chennai,Chennai,Tamil Nadu,South,REG653674,Active,30/01/2025,A,2024-07-12 01:49:53,2025-10-12 19:56:42,Unverified
C300111,Life Pillai Care,Hospital,Cardiologist,Global Visakhapatnam,Visakhapatnam,Andhra Pradesh,South,REG863183,Active,2020-08-18,C,2023-01-25 10:54:41,2025-09-18 01:34:07,Unverified
C300112,Care Verma Medicals,Doctor,Pulmonologist,Fortis Ludhiana,Ludhiana,Punjab,North,REG150567,Active,2024-12-18,A,2024-11-29 20:33:46,2026-02-26 21:27:51,
C300113,Life Kapoor Medicals,Doctor,Cardiologist,Apollo Bengaluru,Bengaluru,Karnataka,South,REG767283,Active,2020-04-05,B,2025-07-06 13:49:16,2025-03-15 16:07:09,Unverified
C300114,Dr. Bose Hospital,Hospital,Dermatologist,Yashoda Jaipur,Jaipur,Rajasthan,Central,REG376257,Active,2020-08-07,C,2023-06-03 05:24:00,2025-10-24 04:00:15,Legacy mapped
C300115,Life Agarwal Pharmacy,Chemist,,,Panipat,Haryana,North,REG895882,Active,2022-09-30,C,2023-07-17 06:01:18,2025-10-22 19:22:54,
C300116,City Reddy Pharmacy,Chemist,,,Rourkela,Odisha,East,,Active,2024-12-03,C,2024-10-23 06:50:56,2025-03-08 04:54:14,
C300117,Care Reddy Clinic,Clinic,Gastroenterologist,Manipal Surat,Surat,Gujarat,West,REG696126,Active,2025-09-27,B,2025-09-30 08:20:34,2025-07-23 03:32:47,
C300118,Dr. Pillai Clinic,Chemist,,,Guwahati,Assam,East,REG392818,Active,2022-04-25,C,2025-12-22 11:36:34,2025-09-19 03:37:11,
C300119,Hope Singh Clinic,Clinic,Neurologist,Global Bilaspur,Bilaspur,Chhattisgarh,West,REG248972,Inactive,2018-10-31,A,2024-05-06 13:34:15,2025-02-12 05:30:21,Legacy mapped
C300120,Care Das Medicals,Chemist,,,Durgapur,West Bengal,East,REG134305,Active,2018-07-04,C,2023-02-06 02:55:29,2025-09-12 02:43:01,Needs clean-up
C300121,Hospital Yadav Medicals,Doctor,Neurologist,Care Thiruvananthapuram,Thiruvananthapuram,Kerala,South,REG482472,Active,2024-03-16,B,2024-05-20 19:04:01,2026-01-16 06:11:15,
C300122,Prime Kulkarni Care,Clinic,Dermatologist,Aster Muzaffarpur,Muzaffarpur,Bihar,Central,REG880863,Active,2024-02-13,A,2023-04-16 22:59:06,2025-02-10 21:55:03,Unverified
C300123,City Bose Medicals,Hospital,Pulmonologist,Apollo Jaipur,Jaipur,Rajasthan,North,REG773616,Active,2022-05-03,C,2024-12-09 20:14:12,2026-01-18 09:09:08,Unverified
C300124,Care Nair Hospital,Hospital,Diabetologist,Care Kochi,Kochi,Kerala,South,REG907364,Active,2021-01-23,B,2024-11-25 01:10:06,2025-12-04 16:33:56,Unverified
C300125,Life Verma Clinic,Chemist,,,Bengaluru,Karnataka,South,REG341479,Active,2025-08-03,C,2025-09-28 17:53:32,2025-06-02 05:51:50,
C300126,City Pillai Medicals,Chemist,,,Jamshedpur,Jharkhand,East,REG158696,Active,2025-02-06,A,2023-12-30 16:21:15,2025-03-08 20:40:03,Legacy mapped
C300127,City Das Medicals,Clinic,Cardiologist,Aster Gaya,Gaya,Bihar,East,REG566726,Active,2025-11-23,A,2025-11-30 18:33:50,2025-08-11 06:45:26,
C300128,Prime Kulkarni Clinic,Chemist,,,Thiruvananthapuram,Kerala,South,REG846944,Active,2018-12-10,A,2024-11-11 20:03:05,2025-11-13 08:29:13,Needs clean-up
C300129,City Singh Medicals,Clinic,Diabetologist,Global Bilaspur,Bilaspur,Chhattisgarh,West,REG970980,Active,2023-04-24,C,2025-10-07 21:29:36,2025-02-13 22:30:35,Legacy mapped
C300130,Prime Sharma Care,Doctor,Cardiologist,Max Bengaluru,Bengaluru,Karnataka,South,REG527609,Active,2021-06-07,A,2024-10-16 02:20:31,2025-06-15 18:21:06,Unverified
C300131, Dr. Sharma Medicals  ,Clinic,Dermatologist,Narayana Gwalior,Gwalior,Madhya Pradesh,Central,REG607245,Inactive,2024-05-23,A,2025-09-17 21:57:41,2025-05-31 23:44:37,Needs clean-up
C300132,Prime Pillai Clinic,Chemist,,,Vasco da Gama,Goa,West,REG462106,Active,19-03-2022,C,2024-11-10 02:11:41,2025-04-22 08:13:48,Legacy mapped
C300133,City Bose Pharmacy,Chemist,,,Cuttack,Odisha,East,REG857265,Active,12/18/2025,C,2025-09-14 10:03:13,2025-12-07 02:00:19,Needs clean-up
C300134,Life Patel Clinic,Clinic,General Physician,Apollo Indore,Indore,Madhya Pradesh,Central,REG532994,Active,2023-06-20,C,2023-03-14 15:53:16,2025-07-21 12:56:45,Needs clean-up
C300135,Hospital Patel Pharmacy,Clinic,Pulmonologist,Max Muzaffarpur,Muzaffarpur,Bihar,Central,REG341448,Active,2024-05-12,A,2023-04-14 06:09:22,2026-01-23 06:24:59,Unverified
C300136,Life Singh Hospital,Clinic,Gastroenterologist,Care Warangal,Warangal,Telangana,South,REG896152,Active,07-08-2022,C,2024-04-03 20:38:19,2026-02-20 14:53:24,Unverified
C300137,Care Chawla Medicals,Doctor,Dermatologist,Aster Pune,Pune,Maharashtra,West,REG348025,Active,2018-12-23,B,2024-11-14 12:44:19,2025-05-11 07:37:55,
C300138,LIFE SIngh care,Clinic,Neurologist,Manipal Lucknow,Lucknow,Uttar Pradesh,Central,REG845544,Inactive,2017-08-09,B,2023-06-08 12:16:03,2025-08-17 16:29:55,
C300139,City Agarwal Clinic,Hospital,Cardiologist,Care Guwahati,Guwahati,Assam,East,REG803411,Active,2021-02-03,A,2025-09-15 20:56:10,2026-01-27 19:20:37,Needs clean-up
C300140,Care Mishra Medicals,Chemist,,,Indore,Madhya Pradesh,West,REG138727,Active,2024-10-11,C,2025-02-25 19:48:38,2025-02-19 10:18:45,Legacy mapped
C300141,Hospital Reddy Clinic,Hospital,Diabetologist,Aster Mumbai,Mumbai,Maharashtra,West,REG304509,Active,2017-03-22,A,2023-05-12 07:27:48,2025-10-07 17:18:04,Unverified
C300142,Hope Mehta Clinic,Doctor,Diabetologist,Narayana Bhopal,Bhopal,Madhya Pradesh,West,REG719116,Active,2017-12-15,B,2025-06-11 21:58:23,2025-06-22 17:38:10,Legacy mapped
C300143,Hope Das Care,Chemist,,,Warangal,Telangana,South,REG304429,Active,2025-08-11,A,2023-12-30 19:59:14,2026-02-13 07:22:09,Needs clean-up
C300144,City Singh Hospital,Chemist,,,Jodhpur,Rajasthan,Central,REG529854,Active,2021-08-09,C,2024-09-26 23:31:17,2025-07-31 08:43:23,Unverified
